,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
176,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,47,35.9,41,31.3,23.4,2.1,0.0,63.8,10.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
177,Ивановская область,ЦЕНТРАЛЬНЫЙ ФО,26,29.9,1,1.1,38.5,0.0,0.0,46.2,15.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
178,Тверская область,ЦЕНТРАЛЬНЫЙ ФО,44,38.6,15,13.2,54.5,0.0,0.0,34.1,11.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
179,Калужская область,ЦЕНТРАЛЬНЫЙ ФО,26,26.0,4,4.0,46.2,0.0,0.0,42.3,11.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
180,Костромская область,ЦЕНТРАЛЬНЫЙ ФО,13,26.5,17,34.7,46.2,7.7,0.0,23.1,23.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
181,Курская область,ЦЕНТРАЛЬНЫЙ ФО,62,60.8,2,2.0,3.2,0.0,0.0,96.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
182,Липецкая область,ЦЕНТРАЛЬНЫЙ ФО,52,39.4,41,31.1,25.0,17.3,0.0,23.1,34.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
183,г. Москва,ЦЕНТРАЛЬНЫЙ ФО,78,15.5,158,31.3,47.4,24.4,0.0,28.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
184,Московская область,ЦЕНТРАЛЬНЫЙ ФО,174,40.9,99,23.3,35.6,9.2,0.0,43.7,11.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
185,Орловская область,ЦЕНТРАЛЬНЫЙ ФО,24,33.3,7,9.7,8.3,8.3,0.0,33.3,50.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
186,Рязанская область,ЦЕНТРАЛЬНЫЙ ФО,70,54.7,31,24.2,38.6,15.7,0.0,21.4,24.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
187,Смоленская область,ЦЕНТРАЛЬНЫЙ ФО,4,5.3,20,26.7,50.0,25.0,0.0,25.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
188,Тамбовская область,ЦЕНТРАЛЬНЫЙ ФО,50,65.8,16,21.1,2.0,36.0,0.0,20.0,42.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
189,Тульская область,ЦЕНТРАЛЬНЫЙ ФО,44,38.6,7,6.1,25.0,6.8,0.0,29.5,38.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
190,Ярославская область,ЦЕНТРАЛЬНЫЙ ФО,43,40.6,4,3.8,27.9,16.3,0.0,20.9,34.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
191,Ненецкий а.о.,СЕВЕРО-ЗАПАДНЫЙ ФО,0,0.0,1,33.3,0.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
192,Архангельская обл.(б/а.о),СЕВЕРО-ЗАПАДНЫЙ ФО,27,33.3,10,12.3,63.0,11.1,0.0,22.2,3.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
193,Вологодская область,СЕВЕРО-ЗАПАДНЫЙ ФО,58,61.7,12,12.8,15.5,6.9,0.0,12.1,65.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
194,Калининградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,10,13.7,26,35.6,20.0,10.0,0.0,40.0,30.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
195,г. Санкт-Петербург,СЕВЕРО-ЗАПАДНЫЙ ФО,176,41.7,50,11.8,48.3,11.9,0.0,30.1,9.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
196,Ленинградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,57,66.3,12,14.0,56.1,5.3,0.0,35.1,3.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
197,Мурманская область,СЕВЕРО-ЗАПАДНЫЙ ФО,25,36.2,12,17.4,64.0,0.0,0.0,32.0,4.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
198,Новгородская область,СЕВЕРО-ЗАПАДНЫЙ ФО,23,37.1,11,17.7,30.4,0.0,0.0,60.9,8.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
199,Псковская область,СЕВЕРО-ЗАПАДНЫЙ ФО,12,16.7,16,22.2,33.3,0.0,0.0,41.7,25.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
200,Республика Карелия,СЕВЕРО-ЗАПАДНЫЙ ФО,25,37.3,11,16.4,76.0,0.0,0.0,20.0,4.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
201,Республика Коми,СЕВЕРО-ЗАПАДНЫЙ ФО,24,33.8,4,5.6,29.2,20.8,0.0,41.7,8.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
202,Краснодарский край,ЮЖНЫЙ ФО,125,34.3,39,10.7,44.0,24.8,0.0,20.8,10.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
203,Астраханская область,ЮЖНЫЙ ФО,11,23.9,8,17.4,27.3,18.2,0.0,54.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
204,Волгоградская область,ЮЖНЫЙ ФО,55,38.5,31,21.7,21.8,1.8,0.0,74.5,1.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
205,Ростовская область,ЮЖНЫЙ ФО,47,21.0,76,33.9,25.5,14.9,0.0,48.9,10.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
206,Республика Адыгея,ЮЖНЫЙ ФО,7,29.2,0,0.0,14.3,42.9,0.0,42.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
207,Республика Калмыкия,ЮЖНЫЙ ФО,6,50.0,0,0.0,16.7,0.0,0.0,83.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
208,Республика Крым,ЮЖНЫЙ ФО,67,59.8,23,20.5,47.8,19.4,0.0,25.4,7.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
209,Город Cевастополь,ЮЖНЫЙ ФО,21,48.8,7,16.3,52.4,19.0,0.0,23.8,4.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
210,Ставропольский край,СЕВЕРО-КАВКАЗСКИЙ ФО,25,16.3,33,21.6,24.0,24.0,0.0,40.0,12.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
211,Республика Ингушетия,СЕВЕРО-КАВКАЗСКИЙ ФО,4,28.6,2,14.3,25.0,0.0,0.0,75.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
212,Республика Дагестан,СЕВЕРО-КАВКАЗСКИЙ ФО,38,60.3,9,14.3,28.9,26.3,0.0,44.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
213,Респ. Кабардино-Балкария,СЕВЕРО-КАВКАЗСКИЙ ФО,8,29.6,6,22.2,50.0,12.5,0.0,37.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
214,Респ. Северная Осетия,СЕВЕРО-КАВКАЗСКИЙ ФО,12,36.4,4,12.1,16.7,0.0,0.0,83.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
215,Респ. Карачаево-Черкесия,СЕВЕРО-КАВКАЗСКИЙ ФО,16,76.2,3,14.3,0.0,18.8,0.0,18.8,62.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
216,Республика Чечня,СЕВЕРО-КАВКАЗСКИЙ ФО,21,75.0,7,25.0,57.1,0.0,0.0,42.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
217,Нижегородская область,ПРИВОЛЖСКИЙ ФО,72,31.4,41,17.9,41.7,6.9,0.0,47.2,4.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
218,Кировская область,ПРИВОЛЖСКИЙ ФО,30,38.5,16,20.5,26.7,16.7,0.0,20.0,36.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
219,Самарская область,ПРИВОЛЖСКИЙ ФО,68,35.4,12,6.3,42.6,25.0,0.0,27.9,4.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
220,Оренбургская область,ПРИВОЛЖСКИЙ ФО,53,38.4,34,24.6,20.8,28.3,0.0,39.6,11.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
221,Пензенская область,ПРИВОЛЖСКИЙ ФО,60,46.5,19,14.7,21.7,13.3,0.0,45.0,20.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
222,Пермский край,ПРИВОЛЖСКИЙ ФО,59,35.1,32,19.0,22.0,25.4,0.0,23.7,28.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
223,Саратовская область,ПРИВОЛЖСКИЙ ФО,104,63.8,4,2.5,42.3,12.5,0.0,36.5,8.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
224,Ульяновская область,ПРИВОЛЖСКИЙ ФО,17,21.0,32,39.5,41.2,17.6,0.0,35.3,5.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
225,Республика Башкортостан,ПРИВОЛЖСКИЙ ФО,83,42.8,52,26.8,61.4,0.0,0.0,37.3,1.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
226,Республика Марий Эл,ПРИВОЛЖСКИЙ ФО,12,21.4,9,16.1,16.7,8.3,0.0,50.0,25.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
227,Республика Мордовия,ПРИВОЛЖСКИЙ ФО,26,36.1,9,12.5,0.0,11.5,0.0,65.4,23.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
228,Республика Татарстан,ПРИВОЛЖСКИЙ ФО,77,32.4,24,10.1,49.4,0.0,0.0,50.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
229,Республика Удмуртия,ПРИВОЛЖСКИЙ ФО,31,38.3,4,4.9,41.9,0.0,0.0,54.8,3.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
230,Республика Чувашия,ПРИВОЛЖСКИЙ ФО,24,27.0,13,14.6,66.7,0.0,0.0,33.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
231,Ханты-Мансийский а.о.,УРАЛЬСКИЙ ФО,36,46.8,19,24.7,52.8,13.9,0.0,30.6,2.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
232,Ямало-Ненецкий а.о.,УРАЛЬСКИЙ ФО,6,25.0,7,29.2,83.3,16.7,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
233,Курганская область,УРАЛЬСКИЙ ФО,27,55.1,22,44.9,7.4,7.4,0.0,3.7,81.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
234,Свердловская область,УРАЛЬСКИЙ ФО,63,22.3,55,19.5,63.5,15.9,0.0,11.1,9.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
235,Тюменская обл.(б/а.о),УРАЛЬСКИЙ ФО,19,22.6,3,3.6,57.9,0.0,0.0,42.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
236,Челябинская область,УРАЛЬСКИЙ ФО,81,35.4,23,10.0,58.0,3.7,0.0,35.8,2.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
237,Алтайский край,СИБИРСКИЙ ФО,40,33.3,19,15.8,22.5,5.0,0.0,62.5,10.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
238,Красноярский край,СИБИРСКИЙ ФО,146,77.7,16,8.5,50.7,28.8,0.0,17.1,3.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
239,Иркутская область,СИБИРСКИЙ ФО,64,36.6,17,9.7,37.5,12.5,0.0,43.8,6.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
240,Кемеровская область,СИБИРСКИЙ ФО,64,38.3,30,18.0,23.4,12.5,0.0,45.3,18.8,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
241,Новосибирская область,СИБИРСКИЙ ФО,47,30.7,21,13.7,57.4,6.4,0.0,25.5,10.6,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
242,Омская область,СИБИРСКИЙ ФО,46,31.9,11,7.6,56.5,0.0,0.0,37.0,6.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
243,Томская область,СИБИРСКИЙ ФО,30,39.5,24,31.6,13.3,20.0,0.0,43.3,23.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
244,Республика Алтай,СИБИРСКИЙ ФО,1,20.0,2,40.0,0.0,0.0,0.0,100.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
245,Республика Тыва,СИБИРСКИЙ ФО,4,40.0,0,0.0,0.0,0.0,0.0,50.0,50.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
246,Республика Хакасия,СИБИРСКИЙ ФО,10,35.7,8,28.6,70.0,10.0,0.0,20.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
247,Приморский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,62,44.0,34,24.1,32.3,17.7,0.0,38.7,11.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
248,Хабаровский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,28,35.4,18,22.8,0.0,10.7,0.0,78.6,10.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
249,Амурская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,13,16.9,21,27.3,38.5,46.2,0.0,0.0,15.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
250,Камчатский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,15,46.9,8,25.0,13.3,0.0,0.0,86.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
251,Магаданская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,4,33.3,1,8.3,0.0,25.0,0.0,50.0,25.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
252,Сахалинская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,24,39.3,13,21.3,29.2,12.5,0.0,20.8,37.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
253,Забайкальский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,17,33.3,4,7.8,82.4,0.0,0.0,17.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
254,Чукотский авт.округ,ДАЛЬНЕВОСТОЧНЫЙ ФО,1,100.0,0,0.0,0.0,0.0,0.0,100.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
255,Республика Бурятия,ДАЛЬНЕВОСТОЧНЫЙ ФО,19,39.6,8,16.7,36.8,10.5,0.0,47.4,5.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
256,Республика Саха (Якутия),ДАЛЬНЕВОСТОЧНЫЙ ФО,31,55.4,3,5.4,54.8,12.9,0.0,12.9,19.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
257,Еврейская авт. обл.,ДАЛЬНЕВОСТОЧНЫЙ ФО,1,20.0,1,20.0,100.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Полость рта (C01-09),Таблица 62,СОП
258,РОССИЯ,,1194,21.9,907,16.6,17.3,17.3,0.0,37.2,28.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
259,Белгородская область,ЦЕНТРАЛЬНЫЙ ФО,31,27.7,33,29.5,0.0,16.1,0.0,35.5,48.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
260,Брянская область,ЦЕНТРАЛЬНЫЙ ФО,14,11.9,8,6.8,7.1,0.0,0.0,57.1,35.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
261,Владимирская область,ЦЕНТРАЛЬНЫЙ ФО,9,11.3,24,30.0,22.2,0.0,0.0,77.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
262,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,36,23.4,42,27.3,0.0,13.9,0.0,52.8,33.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
263,Ивановская область,ЦЕНТРАЛЬНЫЙ ФО,12,16.2,5,6.8,0.0,25.0,0.0,41.7,33.3,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
264,Тверская область,ЦЕНТРАЛЬНЫЙ ФО,13,25.5,4,7.8,30.8,0.0,0.0,23.1,46.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
265,Калужская область,ЦЕНТРАЛЬНЫЙ ФО,15,16.3,3,3.3,20.0,13.3,0.0,26.7,40.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
266,Костромская область,ЦЕНТРАЛЬНЫЙ ФО,2,8.7,7,30.4,0.0,0.0,0.0,50.0,50.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
267,Курская область,ЦЕНТРАЛЬНЫЙ ФО,33,44.0,1,1.3,0.0,0.0,0.0,100.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
268,Липецкая область,ЦЕНТРАЛЬНЫЙ ФО,14,21.2,17,25.8,0.0,21.4,0.0,21.4,57.1,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
269,г. Москва,ЦЕНТРАЛЬНЫЙ ФО,34,11.6,45,15.4,8.8,0.0,0.0,64.7,26.5,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
270,Московская область,ЦЕНТРАЛЬНЫЙ ФО,79,41.4,37,19.4,13.9,21.5,0.0,34.2,30.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
271,Орловская область,ЦЕНТРАЛЬНЫЙ ФО,15,25.4,7,11.9,0.0,26.7,0.0,6.7,66.7,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
272,Рязанская область,ЦЕНТРАЛЬНЫЙ ФО,18,26.1,16,23.2,11.1,38.9,0.0,5.6,44.4,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
273,Смоленская область,ЦЕНТРАЛЬНЫЙ ФО,2,5.6,10,27.8,50.0,0.0,0.0,0.0,50.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
274,Тамбовская область,ЦЕНТРАЛЬНЫЙ ФО,26,65.0,8,20.0,0.0,50.0,0.0,30.8,19.2,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Глотка (С10-13),Таблица 63,СОП
